epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.8723,2.60431,3.53991,4.12028,1.93333,0.46936,0.13506,0.3038,0.1212,0.46307,0.13023,0.31454,0.10781,1.94241,2.63637,2.50606,1.63087,0.0705882,0.00326797,0.00326797
2,124.821,1.89912,2.38807,1.89293,1.41433,0.47951,0.60698,0.53809,0.24001,0.49277,0.59277,0.56441,0.21294,1.82067,2.30152,1.53508,1.41599,0.0404575,0.0064706,0.0064706
3,189.582,1.82356,2.34662,1.607,1.29092,0.44044,0.48916,0.41119,0.15646,0.36665,0.41329,0.34058,0.10451,2.0111,2.97095,2.43439,1.56245,0.0101948,0.00954123,0.00954123
4,251.651,1.77629,2.32932,1.27742,1.2756,0.6514,0.60292,0.63353,0.26613,0.65543,0.58306,0.6231,0.24228,1.89808,2.34525,1.20283,1.49639,0.009406,0.009406,0.009406
5,319.604,1.74042,2.19308,1.13471,1.25615,0.70198,0.63965,0.67114,0.30112,0.69377,0.62193,0.64851,0.25434,1.77813,2.2901,1.18947,1.35821,0.009208,0.009208,0.009208
6,382.964,1.66673,2.09535,1.03674,1.22334,0.65221,0.68821,0.68,0.31303,0.64678,0.65514,0.64599,0.25443,1.78012,2.34472,1.14042,1.39534,0.00901,0.00901,0.00901
7,449.16,1.64663,2.05869,0.98533,1.20419,0.70296,0.624,0.66219,0.29866,0.70415,0.616,0.66119,0.25928,1.81149,2.24159,1.10766,1.39494,0.008812,0.008812,0.008812
8,512.442,1.60824,2.01349,0.94126,1.1885,0.77676,0.73438,0.74158,0.34294,0.72998,0.69035,0.68761,0.2748,1.76773,2.25074,0.95229,1.35419,0.008614,0.008614,0.008614
9,581.46,1.58003,1.9725,0.91067,1.17352,0.61834,0.65591,0.65253,0.2998,0.60932,0.59353,0.60764,0.23186,1.81817,2.27735,1.08585,1.40742,0.008416,0.008416,0.008416
10,647.062,1.54698,1.94744,0.8989,1.16397,0.72899,0.72515,0.74984,0.37484,0.72078,0.70122,0.71238,0.2883,1.66481,2.19389,0.92688,1.31135,0.008218,0.008218,0.008218
11,714.157,1.52536,1.93209,0.86647,1.1481,0.76015,0.73709,0.74913,0.34728,0.74123,0.72459,0.74028,0.28458,1.73732,2.11378,0.95783,1.34399,0.00802,0.00802,0.00802
12,778.824,1.52217,1.88547,0.85085,1.13409,0.78514,0.72467,0.75774,0.35824,0.74796,0.69425,0.70877,0.29603,1.72817,2.13645,0.92004,1.32193,0.007822,0.007822,0.007822
13,842.636,1.47659,1.8458,0.83138,1.12537,0.80101,0.76985,0.79558,0.38095,0.73618,0.69435,0.7139,0.29081,1.67709,2.11087,0.87009,1.32861,0.007624,0.007624,0.007624
14,912.243,1.44949,1.83468,0.80205,1.1261,0.7686,0.77989,0.80391,0.39012,0.71262,0.72134,0.73449,0.29483,1.66425,2.14267,0.88235,1.29786,0.007426,0.007426,0.007426
15,980.973,1.41774,1.84073,0.77812,1.1043,0.78337,0.75978,0.78054,0.37645,0.69793,0.70593,0.70039,0.27244,1.71636,2.11638,0.86988,1.34712,0.007228,0.007228,0.007228
16,1043.73,1.41923,1.79381,0.78866,1.09349,0.76898,0.74469,0.76724,0.36178,0.77191,0.73494,0.75173,0.32872,1.72862,2.12399,0.90089,1.37278,0.00703,0.00703,0.00703
17,1110.83,1.38348,1.7452,0.75123,1.09406,0.79288,0.78649,0.80547,0.40573,0.73428,0.73182,0.74024,0.30885,1.63536,2.18809,0.81964,1.29675,0.006832,0.006832,0.006832
18,1181.11,1.3918,1.81294,0.77058,1.08462,0.68277,0.67766,0.65576,0.30112,0.65523,0.63706,0.62071,0.24495,1.83312,2.19003,1.03573,1.44812,0.006634,0.006634,0.006634
19,1246.9,1.34269,1.69984,0.72175,1.05939,0.77182,0.79341,0.81182,0.41181,0.75185,0.7548,0.77242,0.33122,1.63278,2.11948,0.80881,1.30836,0.006436,0.006436,0.006436
20,1316,1.35414,1.76037,0.72067,1.07214,0.82226,0.80577,0.83091,0.41297,0.79254,0.75464,0.78526,0.33775,1.6506,2.10687,0.79739,1.29457,0.006238,0.006238,0.006238
21,1386.23,1.31678,1.69532,0.70153,1.06463,0.84398,0.78614,0.83758,0.43013,0.79265,0.74246,0.77072,0.3263,1.60344,2.11768,0.77669,1.3045,0.00604,0.00604,0.00604
22,1451.23,1.27731,1.68086,0.6849,1.0464,0.83942,0.78941,0.83439,0.42425,0.76237,0.73766,0.74606,0.3203,1.59143,2.13174,0.82824,1.29218,0.005842,0.005842,0.005842
23,1515.01,1.2712,1.66317,0.67239,1.04202,0.81686,0.79998,0.82881,0.42515,0.79069,0.76548,0.79065,0.34299,1.6368,2.14339,0.77517,1.30536,0.005644,0.005644,0.005644
24,1580.09,1.25387,1.63919,0.66187,1.0291,0.84493,0.7798,0.81325,0.42315,0.78702,0.73482,0.75549,0.34126,1.60677,2.08383,0.78409,1.27948,0.005446,0.005446,0.005446
25,1643.48,1.23625,1.62664,0.64845,1.03056,0.84255,0.78259,0.83427,0.43626,0.77945,0.73763,0.75342,0.33882,1.59788,2.04508,0.76465,1.2699,0.005248,0.005248,0.005248
26,1708.34,1.24083,1.61329,0.64342,1.02125,0.83294,0.80435,0.83676,0.43389,0.77079,0.75282,0.75079,0.33441,1.58995,2.08158,0.74712,1.25969,0.00505,0.00505,0.00505
27,1774.78,1.22906,1.61706,0.63747,1.01156,0.84137,0.81253,0.84449,0.44304,0.78386,0.75017,0.78181,0.34004,1.58433,2.0896,0.74831,1.28291,0.004852,0.004852,0.004852
28,1839.91,1.15717,1.54258,0.59855,1.00022,0.86149,0.8298,0.85178,0.43796,0.79441,0.74928,0.74806,0.32333,1.61055,2.12402,0.73626,1.30329,0.004654,0.004654,0.004654
29,1902.56,1.17628,1.57511,0.61706,0.99455,0.84602,0.8066,0.84437,0.44829,0.78563,0.76529,0.77094,0.33729,1.55956,2.06925,0.73125,1.27775,0.004456,0.004456,0.004456
30,1967.5,1.14088,1.5212,0.58299,0.98715,0.83393,0.81049,0.8289,0.43841,0.78602,0.77233,0.77294,0.33776,1.59799,2.15626,0.73164,1.29323,0.004258,0.004258,0.004258
31,2030.84,1.11622,1.51464,0.57438,0.98537,0.83574,0.8289,0.84715,0.43968,0.77536,0.79345,0.76833,0.34243,1.5713,2.14138,0.73963,1.29132,0.00406,0.00406,0.00406
32,2095.25,1.12724,1.5339,0.58109,0.99291,0.86837,0.83019,0.86217,0.45753,0.81147,0.76825,0.77841,0.35089,1.5582,2.11429,0.71652,1.29133,0.003862,0.003862,0.003862
33,2162.09,1.09489,1.45322,0.56443,0.97533,0.83427,0.82137,0.84057,0.45612,0.79841,0.78074,0.79546,0.36703,1.56277,2.16801,0.70801,1.26951,0.003664,0.003664,0.003664
34,2228.71,1.08928,1.48829,0.56056,0.9769,0.85804,0.82532,0.84456,0.45552,0.80901,0.77977,0.78649,0.34297,1.55831,2.17898,0.71655,1.27613,0.003466,0.003466,0.003466
35,2293.2,1.07853,1.45274,0.55624,0.96025,0.84212,0.80537,0.8412,0.4476,0.80251,0.76368,0.79218,0.34353,1.57952,2.18967,0.72346,1.27486,0.003268,0.003268,0.003268
36,2360.14,1.04007,1.41495,0.54016,0.95311,0.85876,0.80948,0.84776,0.45577,0.8211,0.74826,0.77837,0.35104,1.57104,2.20308,0.70704,1.28801,0.00307,0.00307,0.00307
37,2426.17,1.02767,1.41219,0.52371,0.94597,0.88482,0.81623,0.86098,0.45509,0.80851,0.7646,0.78551,0.34815,1.58543,2.27362,0.70534,1.29863,0.002872,0.002872,0.002872
38,2490.06,1.02848,1.3904,0.52298,0.94942,0.85315,0.83869,0.86398,0.45942,0.78865,0.77818,0.78866,0.35759,1.57737,2.26011,0.69449,1.31309,0.002674,0.002674,0.002674
39,2552.64,1.0089,1.37971,0.51086,0.93869,0.87217,0.81924,0.8489,0.45427,0.81103,0.76555,0.78177,0.3511,1.57534,2.25565,0.69414,1.29532,0.002476,0.002476,0.002476
40,2619.2,0.98219,1.33532,0.49887,0.92682,0.85089,0.84618,0.85816,0.46249,0.80857,0.7745,0.78497,0.36053,1.57717,2.33571,0.68897,1.30987,0.002278,0.002278,0.002278
41,2687.49,0.97229,1.37248,0.48873,0.94807,0.8699,0.84135,0.85717,0.45972,0.82577,0.78833,0.80264,0.37421,1.59576,2.27637,0.68222,1.33803,0.00208,0.00208,0.00208
42,2759.01,0.93045,1.28922,0.46765,0.92621,0.88057,0.82625,0.85661,0.45673,0.82107,0.77484,0.7871,0.35912,1.58681,2.33753,0.69137,1.30742,0.001882,0.001882,0.001882
43,2824.44,0.90376,1.29562,0.46045,0.91307,0.86097,0.84114,0.85353,0.4531,0.80181,0.78384,0.78101,0.34731,1.59025,2.4111,0.69659,1.3027,0.001684,0.001684,0.001684
44,2886.84,0.8886,1.29191,0.44728,0.91621,0.84666,0.85166,0.8561,0.45972,0.8201,0.77813,0.78603,0.3541,1.59915,2.3467,0.68345,1.3209,0.001486,0.001486,0.001486
45,2950.13,0.88019,1.23532,0.44019,0.90098,0.85074,0.85289,0.86218,0.46927,0.82096,0.78859,0.79472,0.35901,1.59018,2.44322,0.682,1.32974,0.001288,0.001288,0.001288
46,3016.39,0.85253,1.22122,0.43722,0.90383,0.88405,0.8308,0.85678,0.4644,0.81917,0.77711,0.78378,0.35423,1.5856,2.4788,0.67419,1.32995,0.00109,0.00109,0.00109
47,3082.77,0.8146,1.21338,0.41648,0.89404,0.87448,0.84908,0.86825,0.46826,0.83491,0.77713,0.79239,0.36114,1.57889,2.40592,0.67234,1.32017,0.000892,0.000892,0.000892
48,3146.26,0.81127,1.22204,0.41481,0.89276,0.84257,0.8665,0.86196,0.46548,0.82397,0.75207,0.7717,0.35003,1.59002,2.4374,0.67288,1.33029,0.000694,0.000694,0.000694
